Year,Period,Area,Series Code,Industry,Adjustment,Benchmark,No. of jobs,Production Workers,Weekly Earnings,Hourly Earnings,Hours Worked,Hierarchical Ordering
2020,March,Texas,41425000,Wholesale Electronic Markets and Agents and Brokers,Not Adjusted,2020,"39,500",N/A,N/A,N/A,N/A,62
2020,March,Texas,42000000,Retail Trade,Not Adjusted,2020,"1,305,400",N/A,N/A,N/A,N/A,63
2020,March,Texas,42000000,Retail Trade,Adjusted,2020,"1,323,800",N/A,N/A,N/A,N/A,63
2020,March,Texas,42441000,Motor Vehicle and Parts Dealers,Not Adjusted,2020,"189,500","157,400",686.78,20.44,33.6,64
2020,March,Texas,42441100,Automobile Dealers,Not Adjusted,2020,"121,000",N/A,N/A,N/A,N/A,65
2020,March,Texas,42441300,"Automotive Parts, Accessories, and Tire Stores",Not Adjusted,2020,"55,300",N/A,N/A,N/A,N/A,66
2020,March,Texas,42442000,Furniture and Home Furnishings Stores,Not Adjusted,2020,"38,800",N/A,N/A,N/A,N/A,67
2020,March,Texas,42443000,Electronics and Appliance Stores,Not Adjusted,2020,"41,200",N/A,N/A,N/A,N/A,68
2020,March,Texas,42444000,Building Material and Garden Equipment and Supplies Dealers,Not Adjusted,2020,"108,700","90,600",514.26,16.43,31.3,69
2020,March,Texas,42444100,Building Material and Supplies Dealers,Not Adjusted,2020,"95,200",N/A,N/A,N/A,N/A,70
2020,March,Texas,42445000,Food and Beverage Stores,Not Adjusted,2020,"244,100","207,200",422.81,11.91,35.5,71
2020,March,Texas,42445100,Grocery Stores,Not Adjusted,2020,"217,400",N/A,N/A,N/A,N/A,72
2020,March,Texas,42446000,Health and Personal Care Stores,Not Adjusted,2020,"75,600",N/A,N/A,N/A,N/A,73
2020,March,Texas,42447000,Gasoline Stations,Not Adjusted,2020,"88,700","74,100",400.03,12.54,31.9,74
2020,March,Texas,42448000,Clothing and Clothing Accessories Stores,Not Adjusted,2020,"113,200","87,300",314.48,12.43,25.3,75
2020,March,Texas,42448100,Clothing Stores,Not Adjusted,2020,"85,600",N/A,N/A,N/A,N/A,76
2020,March,Texas,42451000,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Not Adjusted,2020,"44,000",N/A,N/A,N/A,N/A,77
2020,March,Texas,42452000,General Merchandise Stores,Not Adjusted,2020,"266,800",N/A,N/A,N/A,N/A,78
2020,March,Texas,42452200,Department Stores,Not Adjusted,2020,"92,000",N/A,N/A,N/A,N/A,79
2020,March,Texas,42452300,"General Merchandise Stores, including Warehouse Clubs and Supercenters",Not Adjusted,2020,"174,800",N/A,N/A,N/A,N/A,80
2020,March,Texas,42453000,Miscellaneous Store Retailers,Not Adjusted,2020,"63,600",N/A,N/A,N/A,N/A,81
2020,March,Texas,42453200,"Office Supplies, Stationery, and Gift Stores",Not Adjusted,2020,"19,600",N/A,N/A,N/A,N/A,82
2020,March,Texas,42454000,Nonstore Retailers,Not Adjusted,2020,"31,200",N/A,N/A,N/A,N/A,83
2020,March,Texas,43000000,"Transportation, Warehousing, and Utilities",Not Adjusted,2020,"589,700",N/A,N/A,N/A,N/A,84
2020,March,Texas,43000000,"Transportation, Warehousing, and Utilities",Adjusted,2020,"597,700",N/A,N/A,N/A,N/A,84
2020,March,Texas,43220000,Utilities,Not Adjusted,2020,"51,800",N/A,N/A,N/A,N/A,85
2020,March,Texas,43221100,"Electric Power Generation, Transmission and Distribution",Not Adjusted,2020,"36,500",N/A,N/A,N/A,N/A,86
2020,March,Texas,43221200,Natural Gas Distribution,Not Adjusted,2020,"8,000",N/A,N/A,N/A,N/A,87
2020,March,Texas,43400089,Transportation and Warehousing,Not Adjusted,2020,"537,900",N/A,N/A,N/A,N/A,88
2020,March,Texas,43481000,Air Transportation,Not Adjusted,2020,"66,700",N/A,N/A,N/A,N/A,89
2020,March,Texas,43484000,Truck Transportation,Not Adjusted,2020,"148,100",N/A,N/A,N/A,N/A,90
2020,March,Texas,43484100,General Freight Trucking,Not Adjusted,2020,"97,300",N/A,N/A,N/A,N/A,91
2020,March,Texas,43484200,Specialized Freight Trucking,Not Adjusted,2020,"50,800",N/A,N/A,N/A,N/A,92
2020,March,Texas,43486000,Pipeline Transportation,Not Adjusted,2020,"19,500",N/A,N/A,N/A,N/A,93
2020,March,Texas,43488000,Support Activities for Transportation,Not Adjusted,2020,"91,700",N/A,N/A,N/A,N/A,94
2020,March,Texas,43492000,Couriers and Messengers,Not Adjusted,2020,"62,700",N/A,N/A,N/A,N/A,95
2020,March,Texas,43493000,Warehousing and Storage,Not Adjusted,2020,"104,100",N/A,N/A,N/A,N/A,96
2020,March,Texas,50000000,Information,Not Adjusted,2020,"209,200",N/A,N/A,N/A,N/A,97
2020,March,Texas,50000000,Information,Adjusted,2020,"210,300",N/A,N/A,N/A,N/A,97
2020,March,Texas,50511000,Publishing Industries (except Internet),Not Adjusted,2020,"40,800",N/A,N/A,N/A,N/A,98
2020,March,Texas,50511100,"Newspaper, Periodical, Book, and Directory Publishers",Not Adjusted,2020,"15,200",N/A,N/A,N/A,N/A,99
2020,March,Texas,50517000,Telecommunications,Not Adjusted,2020,"79,800","64,100",N/A,N/A,N/A,100
2020,March,Texas,50518000,"Data Processing, Hosting, and Related Services",Not Adjusted,2020,"38,100",N/A,N/A,N/A,N/A,101
2020,March,Texas,55000000,Financial Activities,Not Adjusted,2020,"813,900",N/A,N/A,N/A,N/A,102
2020,March,Texas,55000000,Financial Activities,Adjusted,2020,"818,100",N/A,N/A,N/A,N/A,102
2020,March,Texas,55520000,Finance and Insurance,Not Adjusted,2020,"583,300",N/A,N/A,N/A,N/A,103
2020,March,Texas,55520000,Finance and Insurance,Adjusted,2020,"585,800",N/A,N/A,N/A,N/A,103
2020,March,Texas,55522000,Credit Intermediation and Related Activities including Monetary Authorities - Central Bank,Not Adjusted,2020,"271,500",N/A,N/A,N/A,N/A,104
2020,March,Texas,55522100,Depository Credit Intermediation including Monetary Authorities - Central Bank,Not Adjusted,2020,"161,800",N/A,N/A,N/A,N/A,105
2020,March,Texas,55522200,Nondepository Credit Intermediation,Not Adjusted,2020,"81,400",N/A,N/A,N/A,N/A,106
2020,March,Texas,55523000,Financial Investments and Related Activities including Financial Vehicles,Not Adjusted,2020,"75,200",N/A,N/A,N/A,N/A,107
2020,March,Texas,55524000,Insurance Carriers and Related Activities,Not Adjusted,2020,"236,600",N/A,N/A,N/A,N/A,108
2020,March,Texas,55524100,Insurance Carriers,Not Adjusted,2020,"124,700",N/A,N/A,N/A,N/A,109
2020,March,Texas,55524200,"Agencies, Brokerages, and Other Insurance Related Activities",Not Adjusted,2020,"111,900",N/A,N/A,N/A,N/A,110
2020,March,Texas,55530000,Real Estate and Rental and Leasing,Not Adjusted,2020,"230,600",N/A,N/A,N/A,N/A,111
2020,March,Texas,55530000,Real Estate and Rental and Leasing,Adjusted,2020,"232,300",N/A,N/A,N/A,N/A,111
2020,March,Texas,55531000,Real Estate,Not Adjusted,2020,"160,000",N/A,N/A,N/A,N/A,112
2020,March,Texas,55532000,Rental and Leasing Services,Not Adjusted,2020,"68,300",N/A,N/A,N/A,N/A,113
2020,March,Texas,60000000,Professional and Business Services,Not Adjusted,2020,"1,810,900",N/A,N/A,N/A,N/A,114
2020,March,Texas,60000000,Professional and Business Services,Adjusted,2020,"1,824,700",N/A,N/A,N/A,N/A,114
2020,March,Texas,60540000,"Professional, Scientific, and Technical Services",Not Adjusted,2020,"849,300",N/A,N/A,N/A,N/A,115
2020,March,Texas,60540000,"Professional, Scientific, and Technical Services",Adjusted,2020,"846,800",N/A,N/A,N/A,N/A,115
2020,March,Texas,60541100,Legal Services,Not Adjusted,2020,"91,700",N/A,N/A,N/A,N/A,116
2020,March,Texas,60541200,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",Not Adjusted,2020,"93,900",N/A,N/A,N/A,N/A,117
2020,March,Texas,60541300,"Architectural, Engineering, and Related Services",Not Adjusted,2020,"171,400",N/A,N/A,N/A,N/A,118
2020,March,Texas,60541500,Computer Systems Design and Related Services,Not Adjusted,2020,"203,600",N/A,N/A,N/A,N/A,119
2020,March,Texas,60541600,"Management, Scientific, and Technical Consulting Services",Not Adjusted,2020,"160,900",N/A,N/A,N/A,N/A,120
2020,March,Texas,60550000,Management of Companies and Enterprises,Not Adjusted,2020,"147,000",N/A,N/A,N/A,N/A,121
2020,March,Texas,60550000,Management of Companies and Enterprises,Adjusted,2020,"147,700",N/A,N/A,N/A,N/A,121
2020,March,Texas,60560000,Administrative and Support and Waste Management and Remediation Services,Not Adjusted,2020,"814,600",N/A,N/A,N/A,N/A,122
2020,March,Texas,60560000,Administrative and Support and Waste Management and Remediation Services,Adjusted,2020,"830,200",N/A,N/A,N/A,N/A,122
2020,March,Texas,60561000,Administrative and Support Services,Not Adjusted,2020,"776,400",N/A,N/A,N/A,N/A,123
2020,March,Texas,60561300,Employment Services,Not Adjusted,2020,"290,300",N/A,N/A,N/A,N/A,124
2020,March,Texas,60561400,Business Support Services,Not Adjusted,2020,"94,100",N/A,N/A,N/A,N/A,125
2020,March,Texas,60561600,Investigation and Security Services,Not Adjusted,2020,"84,600",N/A,N/A,N/A,N/A,126
2020,March,Texas,60561700,Services to Buildings and Dwellings,Not Adjusted,2020,"169,800",N/A,N/A,N/A,N/A,127
2020,March,Texas,60562000,Waste Management and Remediation Services,Not Adjusted,2020,"38,200",N/A,N/A,N/A,N/A,128
2020,March,Texas,65000000,Education and Health Services,Not Adjusted,2020,"1,768,400",N/A,N/A,N/A,N/A,129
2020,March,Texas,65000000,Education and Health Services,Adjusted,2020,"1,772,200",N/A,N/A,N/A,N/A,129
2020,March,Texas,65610000,Educational Services,Not Adjusted,2020,"223,500",N/A,N/A,N/A,N/A,130
2020,March,Texas,65610000,Educational Services,Adjusted,2020,"221,600",N/A,N/A,N/A,N/A,130
2020,March,Texas,65611300,"Colleges, Universities, and Professional Schools",Not Adjusted,2020,"72,100",N/A,N/A,N/A,N/A,131
2020,March,Texas,65620000,Health Care and Social Assistance,Not Adjusted,2020,"1,544,900",N/A,N/A,N/A,N/A,132
2020,March,Texas,65620000,Health Care and Social Assistance,Adjusted,2020,"1,550,600",N/A,N/A,N/A,N/A,132
2020,March,Texas,65621000,Ambulatory Health Care Services,Not Adjusted,2020,"761,400",N/A,N/A,N/A,N/A,133
2020,March,Texas,65621100,Offices of Physicians,Not Adjusted,2020,"234,700",N/A,N/A,N/A,N/A,134
2020,March,Texas,65621600,Home Health Care Services,Not Adjusted,2020,"265,900",N/A,N/A,N/A,N/A,135
2020,March,Texas,65622000,Hospitals,Not Adjusted,2020,"339,500",N/A,N/A,N/A,N/A,136
2020,March,Texas,65623000,Nursing and Residential Care Facilities,Not Adjusted,2020,"191,200",N/A,N/A,N/A,N/A,137
2020,March,Texas,65624000,Social Assistance,Not Adjusted,2020,"252,800",N/A,N/A,N/A,N/A,138
2020,March,Texas,65624400,Child Day Care Services,Not Adjusted,2020,"95,700",N/A,N/A,N/A,N/A,139
2020,March,Texas,70000000,Leisure and Hospitality,Not Adjusted,2020,"1,371,600",N/A,N/A,N/A,N/A,140
2020,March,Texas,70000000,Leisure and Hospitality,Adjusted,2020,"1,377,900",N/A,N/A,N/A,N/A,140
2020,March,Texas,70710000,"Arts, Entertainment, and Recreation",Not Adjusted,2020,"145,000",N/A,N/A,N/A,N/A,141
2020,March,Texas,70710000,"Arts, Entertainment, and Recreation",Adjusted,2020,"149,000",N/A,N/A,N/A,N/A,141
2020,March,Texas,70713000,"Amusement, Gambling, and Recreation Industries",Not Adjusted,2020,"102,300",N/A,N/A,N/A,N/A,142
2020,March,Texas,70720000,Accommodation and Food Services,Not Adjusted,2020,"1,226,600",N/A,N/A,N/A,N/A,143
2020,March,Texas,70720000,Accommodation and Food Services,Adjusted,2020,"1,228,900",N/A,N/A,N/A,N/A,143
2020,March,Texas,70721000,Accommodation,Not Adjusted,2020,"130,200",N/A,N/A,N/A,N/A,144
2020,March,Texas,70722000,Food Services and Drinking Places,Not Adjusted,2020,"1,096,400",N/A,N/A,N/A,N/A,145
2020,March,Texas,80000000,Other Services,Not Adjusted,2020,"441,300",N/A,N/A,N/A,N/A,146
2020,March,Texas,80000000,Other Services,Adjusted,2020,"446,400",N/A,N/A,N/A,N/A,146
2020,March,Texas,80811000,Repair and Maintenance,Not Adjusted,2020,"139,500",N/A,N/A,N/A,N/A,147
2020,March,Texas,80812000,Personal and Laundry Services,Not Adjusted,2020,"118,100",N/A,N/A,N/A,N/A,148
2020,March,Texas,80813000,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",Not Adjusted,2020,"183,700",N/A,N/A,N/A,N/A,149
2020,March,Texas,90000000,Government,Not Adjusted,2020,"2,032,100",N/A,N/A,N/A,N/A,150
2020,March,Texas,90000000,Government,Adjusted,2020,"2,001,200",N/A,N/A,N/A,N/A,150
2020,March,Texas,90910000,Federal Government,Not Adjusted,2020,"208,100",N/A,N/A,N/A,N/A,151
2020,March,Texas,90910000,Federal Government,Adjusted,2020,"208,600",N/A,N/A,N/A,N/A,151
2020,March,Texas,90919119,"Department of Defense, including Ship Building and Hospitals",Not Adjusted,2020,"62,700",N/A,N/A,N/A,N/A,152
2020,March,Texas,90919120,U.S. Postal Service,Not Adjusted,2020,"40,900",N/A,N/A,N/A,N/A,153
2020,March,Texas,90920000,State Government,Not Adjusted,2020,"439,600",N/A,N/A,N/A,N/A,154
2020,March,Texas,90920000,State Government,Adjusted,2020,"428,700",N/A,N/A,N/A,N/A,154
2020,March,Texas,90921611,State Government Educational Services,Not Adjusted,2020,"262,400",N/A,N/A,N/A,N/A,155
2020,March,Texas,90922000,State Government Excluding Education,Not Adjusted,2020,"177,200",N/A,N/A,N/A,N/A,156
2020,March,Texas,90930000,Local Government,Not Adjusted,2020,"1,384,400",N/A,N/A,N/A,N/A,157
2020,March,Texas,90930000,Local Government,Adjusted,2020,"1,363,900",N/A,N/A,N/A,N/A,157
2020,March,Texas,90931611,Local Government Educational Services,Not Adjusted,2020,"904,200",N/A,N/A,N/A,N/A,158
2020,March,Texas,90932000,Local Government excluding Educational Services,Not Adjusted,2020,"480,200",N/A,N/A,N/A,N/A,159
